Michelle,Alexander,3.44
Justin,Hudson,4.02
Heather,Stanley,1.09
Judith,Peterson,2.25
Louise,Bennett,2.24
Lori,Perkins,1.37
Katherine,Clark,1.78
Helen,Morgan,4.2
Virginia,Ferguson,3.26
Jessica,Alvarez,2.15
Denise,Vasquez,1.06
Jimmy,Jordan,2.42
Earl,Brown,3.46
Mary,Crawford,0.78
Steve,Edwards,4.04
Virginia,Roberts,1.44
Earl,Harvey,2.99
Ernest,Hamilton,2.9
Brenda,Bishop,4.19
Ronald,Jackson,3.67
Craig,Peterson,1.57
Martin,Hansen,1.48
Christine,Ramos,0.62
Diana,Brooks,1.81
Christine,Phillips,1.39
Bruce,Webb,2.4
Lisa,Elliott,1.1
Adam,Richards,1.25
Annie,Flores,2.12
Brandon,Ross,2.96
Peter,Chapman,4.29
Frank,Webb,3.75
Kathy,Fowler,3.72
Janice,Fuller,2.35
Craig,George,1.2
Charles,Thompson,1.7
Kathryn,Black,4.2
Tina,Peters,3.24
Jason,Burton,3.11
Gregory,Davis,4.21
Ernest,Rice,0.66
Joshua,Walker,0.94
Betty,Ferguson,0.03
Louise,Ross,1.85
Nicholas,Sanders,1.87
Paula,Green,3.03
Willie,Chapman,1.85
Gerald,Lawrence,0.87
Melissa,Tucker,3.53
Timothy,Allen,2.65
Lisa,Austin,2.07
Louise,Bennett,1.95
Richard,Gutierrez,2.77
Anne,Greene,4.13
Emily,Hayes,2.33
Gary,Williamson,2.71
Rose,Martinez,0.64
Juan,Lynch,2.22
Angela,Reynolds,1.54
Margaret,Allen,3.57
Ashley,Moore,2.11
Janice,James,0.6
Joseph,Gibson,0.93
Jean,Hamilton,1.37
Alan,Ray,1.31
